season,team,interval,shots,goals,xG,total_goals,goals_minus_xG,goals_percentage,shots_against,goals_against,xGA,total_goals_against,goals_against_minus_xGA,goals_against_percentage
2021,Liverpool,16-30,110,17,14.79991636890918,94,2.20008363109082,18.085106382978726,44,2,5.773253466002643,26,-3.773253466002643,7.6923076923076925
2021,Liverpool,31-45,128,14,16.582100641913712,94,-2.582100641913712,14.893617021276595,47,5,5.167140269652009,26,-0.167140269652009,19.230769230769234
2021,Liverpool,46-60,139,12,14.103246811777352,94,-2.1032468117773515,12.76595744680851,58,4,5.950063885189593,26,-1.9500638851895928,15.384615384615385
2021,Liverpool,61-75,117,18,14.754311154596508,94,3.2456888454034925,19.148936170212767,42,6,5.275464111939073,26,0.7245358880609274,23.076923076923077
2021,Liverpool,76+,131,21,20.037835024297237,94,0.9621649757027626,22.340425531914892,60,2,5.047651468310505,26,-3.047651468310505,7.6923076923076925
2021,Manchester City,1-15,106,20,17.722091619856656,99,2.2779083801433444,20.2020202020202,35,5,3.322390606161207,26,1.677609393838793,19.230769230769234
2021,Manchester City,16-30,103,14,12.76712648756802,99,1.2328735124319792,14.14141414141414,37,4,3.186921887099743,26,0.8130781129002571,15.384615384615385
2021,Manchester City,31-45,114,11,14.788691215217112,99,-3.7886912152171117,11.11111111111111,28,3,2.2069862550124526,26,0.7930137449875474,11.538461538461538
2021,Manchester City,46-60,137,13,14.701870631426573,99,-1.7018706314265728,13.131313131313133,51,6,6.2070836294442415,26,-0.20708362944424152,23.076923076923077
2021,Manchester City,61-75,121,19,16.667163128964603,99,2.332836871035397,19.19191919191919,34,4,4.610306814312935,26,-0.6103068143129349,15.384615384615385
2021,Manchester City,76+,136,22,22.614616201259196,99,-0.6146162012591958,22.22222222222222,52,4,6.033096109051257,26,-2.0330961090512574,15.384615384615385
2021,Manchester United,1-15,82,5,9.741868688724937,57,-4.741868688724937,8.771929824561402,84,9,10.977379069663584,57,-1.9773790696635842,15.789473684210526
2021,Manchester United,16-30,85,6,8.756106853950769,57,-2.7561068539507687,10.526315789473683,80,7,9.417722054757178,57,-2.417722054757178,12.280701754385964
2021,Manchester United,31-45,81,9,8.284432869404554,57,0.7155671305954456,15.789473684210526,92,8,11.287560914643109,57,-3.287560914643109,14.035087719298245
2021,Manchester United,46-60,95,12,11.416753026191143,57,0.5832469738088566,21.052631578947366,86,14,10.228162507526577,57,3.7718374924734235,24.561403508771928
2021,Manchester United,61-75,80,13,10.881011779420078,57,2.118988220579922,22.807017543859647,73,7,8.21983251767233,57,-1.2198325176723301,12.280701754385964
2021,Manchester United,76+,86,12,9.683881702832878,57,2.3161182971671224,21.052631578947366,99,12,10.713620361872016,57,1.2863796381279844,21.052631578947366
2021,Tottenham,1-15,67,11,9.653542576357722,69,1.3464574236422777,15.942028985507244,70,4,5.912873027846217,40,-1.9128730278462172,10.0
2021,Tottenham,16-30,74,9,9.767179699614644,69,-0.767179699614644,13.043478260869565,67,5,5.285210815258324,40,-0.28521081525832415,12.5
2021,Tottenham,31-45,81,12,12.973688079044225,69,-0.9736880790442246,17.391304347826086,93,8,9.013769818469882,40,-1.013769818469882,20.0
2021,Tottenham,46-60,105,13,16.537654909305274,69,-3.5376549093052745,18.84057971014493,103,4,7.0071049481630325,40,-3.0071049481630325,10.0
2021,Tottenham,61-75,79,14,15.189049207605422,69,-1.1890492076054215,20.28985507246377,82,8,8.999713996425271,40,-0.999713996425271,20.0
2021,Tottenham,76+,92,10,10.867924081161618,69,-0.8679240811616182,14.492753623188406,75,11,9.203439343720676,40,1.7965606562793237,27.500000000000004
2022,Arsenal,1-15,97,14,13.810264138504865,88,0.18973586149513544,15.909090909090908,42,5,5.151712452061474,43,-0.15171245206147432,11.627906976744185
2022,Arsenal,16-30,81,15,10.752547562122343,88,4.247452437877657,17.045454545454543,51,6,7.067926235496998,43,-1.0679262354969978,13.953488372093023
2022,Arsenal,31-45,84,11,9.90825039986521,88,1.09174960013479,12.5,46,5,6.95783459674567,43,-1.9578345967456698,11.627906976744185
2022,Arsenal,46-60,134,20,18.731884724460546,88,1.2681152755394542,22.727272727272727,67,9,10.260815129615366,43,-1.2608151296153665,20.930232558139537
2022,Arsenal,61-75,75,14,11.53664279729128,88,2.4633572027087194,15.909090909090908,60,12,9.032259780913591,43,2.9677402190864086,27.906976744186046
2022,Arsenal,76+,125,14,16.623476947657764,88,-2.623476947657764,15.909090909090908,76,6,7.968968717381358,43,-1.9689687173813581,13.953488372093023
2022,Chelsea,1-15,65,7,9.590704537928104,38,-2.5907045379281044,18.421052631578945,62,7,9.752695517614484,47,-2.752695517614484,14.893617021276595
2022,Chelsea,16-30,74,4,7.405882585793734,38,-3.4058825857937336,10.526315789473683,64,8,6.7498882887884974,47,1.2501117112115026,17.02127659574468
2022,Chelsea,31-45,80,1,8.554025716148317,38,-7.554025716148317,2.631578947368421,70,10,9.31001470796764,47,0.6899852920323593,21.27659574468085
2022,Chelsea,46-60,102,11,10.558907059021294,38,0.4410929409787059,28.947368421052634,94,2,11.909489414654672,47,-9.909489414654672,4.25531914893617
2022,Chelsea,61-75,78,6,7.819625083357096,38,-1.8196250833570957,15.789473684210526,77,13,11.008927107788622,47,1.9910728922113776,27.659574468085108
2022,Chelsea,76+,84,9,9.159464832395315,38,-0.15946483239531517,23.684210526315788,74,7,9.564340102486312,47,-2.5643401024863124,14.893617021276595
2022,Liverpool,1-15,68,13,11.1030186843127,75,1.8969813156873006,17.333333333333336,63,10,12.843793906271458,47,-2.8437939062714577,21.27659574468085
2022,Liverpool,16-30,94,7,11.585155857726932,75,-4.585155857726932,9.333333333333334,66,8,10.30934090493247,47,-2.309340904932469,17.02127659574468
2022,Liverpool,31-45,101,17,14.994477053172886,75,2.0055229468271136,22.666666666666664,54,6,7.369724342599511,47,-1.3697243425995111,12.76595744680851
2022,Liverpool,46-60,127,11,16.42911279015243,75,-5.4291127901524305,14.666666666666666,78,10,11.249381282366812,47,-1.2493812823668122,21.27659574468085
2022,Liverpool,61-75,88,14,14.958886718377473,75,-0.9588867183774727,18.666666666666668,46,7,8.13203071244061,47,-1.13203071244061,14.893617021276595
2022,Liverpool,76+,132,13,16.020378028042614,75,-3.0203780280426145,17.333333333333336,64,6,9.071504730731249,47,-3.071504730731249,12.76595744680851
2022,Manchester City,1-15,107,13,13.1521726725623,94,-0.15217267256229938,13.829787234042554,29,4,4.582506384700537,33,-0.5825063847005367,12.121212121212121
2022,Manchester City,16-30,91,14,12.62841999065131,94,1.3715800093486905,14.893617021276595,38,4,5.524365804158151,33,-1.5243658041581511,12.121212121212121
2022,Manchester City,31-45,111,21,16.902275728061795,94,4.097724271938205,22.340425531914892,50,4,5.683483739383519,33,-1.6834837393835187,12.121212121212121
2022,Manchester City,46-60,101,18,15.388782841153445,94,2.6112171588465554,19.148936170212767,51,5,3.711088488809765,33,1.2889115111902352,15.151515151515152
2022,Manchester City,61-75,97,19,15.809320904314518,94,3.190679095685482,20.212765957446805,51,6,5.341001246124506,33,0.658998753875494,18.181818181818183
2022,Manchester City,76+,95,9,13.665875630453227,94,-4.665875630453227,9.574468085106384,75,10,10.653205845505,33,-0.6532058455049992,30.303030303030305
2022,Manchester United,1-15,90,7,9.849691106937826,58,-2.8496911069378257,12.068965517241379,60,6,7.244893494993448,43,-1.2448934949934483,13.953488372093023
2022,Manchester United,16-30,100,7,12.556179800070822,58,-5.556179800070822,12.068965517241379,73,6,7.807637397199869,43,-1.8076373971998692,13.953488372093023
2022,Manchester United,31-45,105,11,13.429327429272234,58,-2.4293274292722344,18.96551724137931,67,6,7.371672576293349,43,-1.3716725762933493,13.953488372093023
2022,Manchester United,46-60,96,10,10.839185289107265,58,-0.8391852891072649,17.24137931034483,92,9,10.24911256507039,43,-1.2491125650703907,20.930232558139537
2022,Manchester United,61-75,94,11,11.888251232914628,58,-0.8882512329146284,18.96551724137931,87,6,9.750846404582262,43,-3.750846404582262,13.953488372093023
2022,Manchester United,76+,109,12,17.182452568784356,58,-5.182452568784356,20.689655172413794,101,10,9.28226304333657,43,0.7177369566634297,23.25581395348837
2022,Tottenham,1-15,69,8,7.638104261830449,70,0.3618957381695509,11.428571428571429,81,14,10.37360773794353,63,3.62639226205647,22.22222222222222
2022,Tottenham,16-30,73,7,7.365678359754384,70,-0.36567835975438356,10.0,82,8,5.699482559226453,63,2.3005174407735467,12.698412698412698
2022,Tottenham,31-45,66,9,7.997466115280986,70,1.0025338847190142,12.857142857142856,90,9,9.709003685042262,63,-0.7090036850422621,14.285714285714285
2022,Tottenham,46-60,117,13,14.28555049467832,70,-1.2855504946783203,18.571428571428573,103,11,10.83532291278243,63,0.16467708721756935,17.46031746031746
2022,Tottenham,61-75,91,17,11.876870824955404,70,5.123129175044596,24.285714285714285,82,9,7.459652568213642,63,1.5403474317863584,14.285714285714285
2022,Tottenham,76+,106,16,11.273399490397424,70,4.7266005096025765,22.857142857142858,82,12,8.949331052601337,63,3.0506689473986626,19.047619047619047
2023,Arsenal,1-15,99,12,12.764715453609824,91,-0.7647154536098242,13.186813186813188,41,4,5.747806868050247,29,-1.7478068680502474,13.793103448275861
2023,Arsenal,16-30,107,13,15.28627317538485,91,-2.2862731753848493,14.285714285714285,48,4,4.24241612944752,29,-0.24241612944751978,13.793103448275861
2023,Arsenal,31-45,113,16,19.815629748627543,91,-3.8156297486275434,17.582417582417584,45,2,4.0146940760314465,29,-2.0146940760314465,6.896551724137931
2023,Arsenal,46-60,132,14,17.40613636840135,91,-3.4061363684013486,15.384615384615385,65,9,6.941211698576808,29,2.058788301423192,31.03448275862069
2023,Arsenal,61-75,81,16,8.393317957408726,91,7.606682042591274,17.582417582417584,53,2,4.111724926158786,29,-2.111724926158786,6.896551724137931
2023,Arsenal,76+,130,20,17.722067332826555,91,2.2779326671734452,21.978021978021978,71,8,8.192462919745594,29,-0.19246291974559426,27.586206896551722
2023,Chelsea,1-15,85,9,8.764345632866025,77,0.23565436713397503,11.688311688311687,72,7,7.711631172336638,63,-0.711631172336638,11.11111111111111
2023,Chelsea,16-30,87,15,12.561027397867292,77,2.438972602132708,19.480519480519483,75,6,8.735143578611314,63,-2.7351435786113143,9.523809523809524
2023,Chelsea,31-45,77,12,12.910046314820647,77,-0.9100463148206472,15.584415584415584,78,10,8.148246170952916,63,1.8517538290470839,15.873015873015872
2023,Chelsea,46-60,112,9,18.049199688248336,77,-9.049199688248336,11.688311688311687,131,13,18.755607505328953,63,-5.755607505328953,20.634920634920633
2023,Chelsea,61-75,81,15,14.71678280737251,77,0.28321719262748957,19.480519480519483,67,9,6.260751636698842,63,2.739248363301158,14.285714285714285
2023,Chelsea,76+,107,17,15.848547683097422,77,1.1514523169025779,22.07792207792208,136,18,17.260135144926608,63,0.7398648550733924,28.57142857142857
2023,Liverpool,1-15,102,5,10.244975838810204,86,-5.244975838810204,5.813953488372093,58,8,7.41361016407609,41,0.5863898359239101,19.51219512195122
2023,Liverpool,16-30,117,12,14.791969337966291,86,-2.7919693379662913,13.953488372093023,46,6,5.754867829848081,41,0.24513217015191913,14.634146341463413
2023,Liverpool,31-45,133,13,16.80072687752545,86,-3.800726877525449,15.11627906976744,58,5,6.008634430356324,41,-1.0086344303563237,12.195121951219512
